,log_return
659,0.0861344313322572
660,0.08657166288193037
661,0.09204470690586689
662,0.09145732264746899
663,0.09155134625673685
664,0.09218624213352493
665,0.09687064152519304
666,0.08787920449231014
667,0.08696761572829809
668,0.08214460534836748
669,0.08898488868010648
670,0.0884545862785798
671,0.09377362844060894
672,0.09325126926709527
673,0.09332008571717681
674,0.09253037240770907
675,0.07838021895309734
676,0.07746760796507271
677,0.08043570589672146
678,0.0811950528477621
679,0.07300000803322057
680,0.07236719994020069
681,0.07959588773312543
682,0.07963832530448381
683,0.07686567936103475
684,0.07970987890445776
685,0.06690165661809926
686,0.06979422871836358
687,0.07172621980909491
688,0.0721337000928868
689,0.08469221872431025
690,0.08097242047538991
691,0.08216297500536551
692,0.08233447525062568
693,0.08225487797493285
694,0.08277505488359314
695,0.10797640625595491
696,0.10385709584082611
697,0.10330115960354537
698,0.10109741439552801
699,0.10182148040974599
700,0.10073552168429932
701,0.09963070404646361
702,0.10047585750834997
703,0.08844749981597004
704,0.09092568255337977
705,0.08543860999308368
706,0.08841328528215336
707,0.0888180745838849
708,0.09414929833394728
709,0.0663761134594801
710,0.06622555392477535
711,0.06707008739429852
712,0.08828634273876702
713,0.09974057155235136
714,0.09899360994990943
715,0.09803655374323915
716,0.11767140319743344
717,0.11837041437991436
718,0.12158759888171955
719,0.11571021098329001
720,0.11581121610353351
721,0.11441154476040284
722,0.11685700331378064
723,0.12227012619542457
724,0.1340882094468897
725,0.14291860515679775
726,0.14853520793307093
727,0.1413801190988171
728,0.15938691197684354
729,0.15939573620240544
730,0.14505328827118588
731,0.14270471100381546
732,0.14229579168283688
733,0.14954471805229222
734,0.1548524270130626
735,0.15714992495737765
736,0.17681393332650486
737,0.1744422500337379
738,0.1657428118546826
739,0.16050278250750777
740,0.15655777641993476
741,0.1561293465809861
742,0.1390179158639472
743,0.14136330210735873
744,0.14412872385863795
745,0.14643964191427866
746,0.17215369883266482
747,0.1624262622947084
748,0.1525649583876868
749,0.1585069758681789
750,0.13374330283269537
751,0.13645959497566856
752,0.1286650449374321
753,0.1288503125193838
754,0.13407450628272424
755,0.14409290447058998
756,0.1454720548269178
757,0.14343023265765695
758,0.1387658115365067
759,0.15831724962974394
760,0.13161561528678875
761,0.13386373763520187
762,0.14989081156955844
763,0.1500871134394756
764,0.14961457013833734
765,0.14780260976589593
766,0.15661720701304865
767,0.15605146339025727
768,0.14938003609592526
769,0.1362715409741296
770,0.13258219172552407
771,0.13223000674360325
772,0.13417533441427343
773,0.11349634225248331
774,0.10823434066404918
775,0.10259659122196063
776,0.08004904087733401
777,0.0754546257699281
778,0.09501383413918414
779,0.09592456893599857
780,0.08367659994472035
781,0.08353141756614783
782,0.0824583735775628
783,0.08079262906705022
784,0.08408341990692231
785,0.08409336461599375
786,0.0827622388165986
787,0.08178679942011746
788,0.07699473682955402
789,0.07629500307379407
790,0.07297728559070654
791,0.0742500875001274
792,0.05366405666564784
793,0.06538166965222612
794,0.06844118818858214
795,0.06852071684079265
796,0.06665874281125717
797,0.07951252461622646
798,0.07661637794668842
799,0.07730479949019023
800,0.07704163785724132
801,0.07505043619696414
802,0.0765502592987511
803,0.07941823722401613
804,0.0836581350652556
805,0.0817425508724555
806,0.08940402730466812
807,0.07915673339852405
808,0.07351877788925919
809,0.07324155382954844
810,0.07536013971435923
811,0.06804615774174594
812,0.06701181468177762
813,0.08091343186715919
